,count,mean,std,min,25%,50%,75%,max
ppg_mean,15000.0,0.4478153100233567,0.07186896420427889,0.0,0.41406635047851564,0.44404027648437494,0.4760025720703125,0.9627125066015626
ppg_std,15000.0,0.25345503663403296,0.042970799601076054,0.0,0.23190697066095675,0.25953836548260706,0.28216709877155716,0.3427909458723548
ppg_median,15000.0,0.41210581260533335,0.09358373766345623,0.0,0.36286867875,0.4086291275,0.45781527875,0.980118205
ppg_min,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppg_max,15000.0,0.9958666666666667,0.06416013812155599,0.0,1.0,1.0,1.0,1.0
ppg_ptp,15000.0,0.9958666666666667,0.06416013812155599,0.0,1.0,1.0,1.0,1.0
ppg_rms,15000.0,0.5173073908712946,0.06467240418221648,0.0,0.49313422404714263,0.5181175166463239,0.5432047303964535,0.9674062694954888
ppg_variance,15000.0,0.06608582211420688,0.0194150242505201,0.0,0.05378084305832988,0.0673601631573853,0.07961827164406832,0.1175056325720636
ppg_skewness,15000.0,0.29000699262569674,0.4877241588473307,-6.961050206716222,0.1810468074729602,0.32389730765511865,0.46089204978014325,7.284507946610042
ppg_kurtosis,15000.0,-0.5402825910907333,2.541373108396138,-1.5946894889047896,-1.0991753594175147,-0.9582217110926334,-0.6858750346457742,72.45551806009988
ppg_iqr,15000.0,0.4094452515236667,0.10394685247310702,0.0,0.35176493312499996,0.4253957212499999,0.47956306499999996,0.6932229849999999
ppg_pulse_count,15000.0,3.9174,1.046127875661232,0.0,3.0,4.0,4.0,7.0
ppg_pulse_rate_bpm,15000.0,91.86000707541872,26.09873311623384,0.0,76.9230769230769,86.95652173913044,103.00429184549355,150.0
ppg_pulse_interval_mean,15000.0,0.6842455,0.1917591873126585,0.0,0.5733333333333334,0.6833333333333335,0.7766666666666667,1.98
ppg_pulse_interval_std,15000.0,0.08999984764040758,0.08830004102847802,0.0,0.0097979589711327,0.049944382578492846,0.160485374896143,0.645
ppg_pulse_amplitude_mean,15000.0,0.8819253750341334,0.11800250146887276,0.0,0.85213544925,0.9077681895833334,0.9471393739583334,0.99997683
ppg_pulse_amplitude_std,15000.0,0.08169076017444062,0.05534851224015295,0.0,0.04067179519092147,0.07021905499319489,0.10986300716943115,0.418330825
ppg_dominant_freq_hz,15000.0,2.6573177083333333,0.8348285052160901,0.390625,2.34375,2.734375,3.125,17.1875
ppg_spectral_centroid_hz,15000.0,0.5510596208287192,0.2236255115433202,0.0,0.42584919322600756,0.5426061508887328,0.6683236602463016,4.027331447147017
ppg_spectral_energy,15000.0,15646.544680006591,4167.742219016492,1e-09,13620.300202157372,15252.988885073139,17020.085123995992,61036.63922187445
ppg_spectral_entropy,15000.0,0.9600201861672426,0.27050241913307027,-0.0,0.8116037826889263,0.9602216508355041,1.120375575096065,4.144407644237681
ppg_ac_approx,15000.0,0.25345503663403296,0.042970799601076054,0.0,0.23190697066095675,0.25953836548260706,0.28216709877155716,0.3427909458723548
ppg_dc_approx,15000.0,0.4478153100233567,0.07186896420427889,0.0,0.41406635047851564,0.44404027648437494,0.4760025720703125,0.9627125066015626
